CHR	START	END	INDEX	SOX2
chr1	110625287	110626287	513	1
chr1	111081891	111082891	514	0
chr1	111174553	111175553	515	1
chr1	111182845	111183845	516	0
chr1	111183392	111184392	517	0
chr1	111378451	111379451	518	0
chr1	111546438	111547438	519	0
chr1	111556229	111557229	520	0
chr1	111637757	111638757	521	1
chr1	111711522	111712522	522	1
chr1	112191745	112192745	523	0
chr1	112311440	112312440	524	1
chr1	112475161	112476161	525	0
chr1	112494456	112495456	526	0
chr1	112562288	112563288	527	1
chr1	112562981	112563981	528	1
chr1	112592949	112593949	529	1
chr1	112620221	112621221	530	1
chr1	112921210	112922210	531	1
chr1	112933494	112934494	532	1
chr1	112951265	112952265	533	0
chr1	113107119	113108119	534	0
chr1	113176122	113177122	535	0
chr1	113537788	113538788	536	0
chr1	113540834	113541834	537	0
chr1	113593713	113594713	538	1
chr1	113594160	113595160	539	1
chr1	113594469	113595469	540	1
chr1	113594756	113595756	541	1
chr1	113608819	113609819	542	0
chr1	113623923	113624923	543	0
chr1	113770215	113771215	544	0
chr1	114389692	114390692	545	0
chr1	114420510	114421510	546	0
chr1	114440301	114441301	547	0
chr1	114477228	114478228	548	1
chr1	114667231	114668231	549	1
chr1	114703749	114704749	550	0
chr1	114874489	114875489	551	1
chr1	114894283	114895283	552	1
chr1	114909378	114910378	553	0
chr1	114913232	114914232	554	1
chr1	114993597	114994597	555	1
chr1	115244083	115245083	556	0
chr1	115552120	115553120	557	0
chr1	116036956	116037956	558	0
chr1	116437327	116438327	559	0
chr1	116521462	116522462	560	1
chr1	116521703	116522703	561	1
chr1	116700431	116701431	562	0
chr1	116703930	116704930	563	0
chr1	117391845	117392845	564	1
chr1	117400162	117401162	565	0
chr1	117460809	117461809	566	0
chr1	117469592	117470592	567	0
chr1	117507353	117508353	568	0
chr1	117508245	117509245	569	1
chr1	117543537	117544537	570	0
chr1	117762174	117763174	571	1
chr1	117808162	117809162	572	1
chr1	117901934	117902934	573	1
chr1	117926880	117927880	574	1
chr1	117934625	117935625	575	1
chr1	118074106	118075106	576	0
chr1	118194557	118195557	577	0
chr1	118197178	118198178	578	1
chr1	118359973	118360973	579	1
chr1	118564840	118565840	580	1
chr1	118800159	118801159	581	1
chr1	118880283	118881283	582	1
chr1	118880740	118881740	583	1
chr1	119066737	119067737	584	0
chr1	119823277	119824277	585	0
chr1	119956743	119957743	586	1
chr1	121561449	121562449	587	0
chr1	143736881	143737881	588	1
chr1	145785020	145786020	589	0
chr1	145786169	145787169	590	0
chr1	145807859	145808859	591	0
chr1	145825283	145826283	592	1
chr1	147133610	147134610	593	1
chr1	150011004	150012004	594	0
chr1	150094564	150095564	595	1
chr1	150828060	150829060	596	0
chr1	151409472	151410472	597	1
chr1	151699671	151700671	598	0
chr1	151748428	151749428	599	1
chr1	152324419	152325419	600	0
chr1	153134916	153135916	601	1
chr1	153269346	153270346	602	1
chr1	153906384	153907384	603	0
chr1	154160171	154161171	604	0
chr1	154640969	154641969	605	1
chr1	154649577	154650577	606	1
chr1	154891600	154892600	607	1
chr1	155456977	155457977	608	0
chr1	155472678	155473678	609	0
chr1	155486074	155487074	610	1
chr1	155695675	155696675	611	1
chr1	157062016	157063016	612	1
chr1	157266228	157267228	613	1
chr1	157324305	157325305	614	1
chr1	158202541	158203541	615	0
chr1	158361790	158362790	616	1
chr1	158540092	158541092	617	1
chr1	159011938	159012938	618	0
chr1	159243263	159244263	619	1
chr1	159511088	159512088	620	1
chr1	159675204	159676204	621	1
chr1	160263778	160264778	622	1
chr1	160318207	160319207	623	1
chr1	160330139	160331139	624	0
chr1	160578465	160579465	625	1
chr1	160995724	160996724	626	0
chr1	161682663	161683663	627	1
chr1	161751138	161752138	628	1
chr1	161783864	161784864	629	1
chr1	161787824	161788824	630	1
chr1	161870327	161871327	631	0
chr1	162232094	162233094	632	1
chr1	162511840	162512840	633	0
chr1	162528828	162529828	634	1
chr1	162638925	162639925	635	0
chr1	162743206	162744206	636	0
chr1	162828202	162829202	637	0
chr1	163243595	163244595	638	1
chr1	163345231	163346231	639	1
chr1	163430304	163431304	640	1
chr1	163550023	163551023	641	1
chr1	163776895	163777895	642	1
chr1	163820299	163821299	643	1
chr1	164205832	164206832	644	1
chr1	164455474	164456474	645	1
chr1	164522555	164523555	646	1
chr1	165123005	165124005	647	1
chr1	165420530	165421530	648	0
chr1	165725804	165726804	649	0
chr1	165748173	165749173	650	0
chr1	166462170	166463170	651	1
chr1	166811754	166812754	652	1
chr1	166889322	166890322	653	0
chr1	167006937	167007937	654	1
chr1	167162973	167163973	655	0
chr1	167225254	167226254	656	0
chr1	167271524	167272524	657	1
chr1	167310421	167311421	658	0
chr1	167368972	167369972	659	1
chr1	167418918	167419918	660	0
chr1	167715327	167716327	661	0
chr1	167813135	167814135	662	0
chr1	167922633	167923633	663	0
chr1	167937857	167938857	664	0
chr1	167964203	167965203	665	0
chr1	168050219	168051219	666	0
chr1	168064576	168065576	667	1
chr1	168254886	168255886	668	0
chr1	168406821	168407821	669	0
chr1	168671962	168672962	670	1
chr1	169033458	169034458	671	1
chr1	169037632	169038632	672	0
chr1	169144995	169145995	673	1
chr1	169349273	169350273	674	1
chr1	169387116	169388116	675	0
chr1	169479162	169480162	676	0
chr1	169489203	169490203	677	1
chr1	169561896	169562896	678	1
chr1	169801635	169802635	679	1
chr1	169843508	169844508	680	1
chr1	169900702	169901702	681	0
chr1	169949812	169950812	682	1
chr1	169950097	169951097	683	1
chr1	170131990	170132990	684	1
chr1	170332473	170333473	685	1
chr1	170382487	170383487	686	1
chr1	170485518	170486518	687	0
chr1	170518609	170519609	688	0
chr1	170536219	170537219	689	0
chr1	170874361	170875361	690	1
chr1	171329714	171330714	691	0
chr1	171407983	171408983	692	1
chr1	171487757	171488757	693	1
chr1	171673933	171674933	694	1
chr1	171674220	171675220	695	1
chr1	171710079	171711079	696	1
chr1	172374222	172375222	697	1
chr1	172403101	172404101	698	1
chr1	172548023	172549023	699	1
chr1	172605312	172606312	700	1
chr1	172611051	172612051	701	1
chr1	172736557	172737557	702	1
chr1	172772951	172773951	703	1
chr1	172895394	172896394	704	0
chr1	173007225	173008225	705	1
chr1	173099815	173100815	706	1
chr1	173280049	173281049	707	1
chr1	173301121	173302121	708	0
chr1	173301798	173302798	709	1
chr1	173444403	173445403	710	1
chr1	173711856	173712856	711	0
chr1	173716006	173717006	712	1
chr1	173771398	173772398	713	0
chr1	173958609	173959609	714	0
chr1	173984325	173985325	715	1
chr1	174018866	174019866	716	1
chr1	174019927	174020927	717	1
chr1	174264599	174265599	718	0
chr1	174293263	174294263	719	1
chr1	174369748	174370748	720	1
chr1	174497191	174498191	721	0
chr1	174871822	174872822	722	0
chr1	175955384	175956384	723	1
chr1	176021646	176022646	724	0
chr1	176189175	176190175	725	1
chr1	176240565	176241565	726	0
chr1	176244870	176245870	727	1
chr1	177630301	177631301	728	1
chr1	177973240	177974240	729	1
chr1	178347326	178348326	730	1
chr1	178381678	178382678	731	0
chr1	178396745	178397745	732	1
chr1	178460811	178461811	733	0
chr1	178699703	178700703	734	1
chr1	178715148	178716148	735	0
chr1	178782493	178783493	736	0
chr1	178784559	178785559	737	1
chr1	178807436	178808436	738	0
chr1	178845193	178846193	739	0
chr1	179055843	179056843	740	0
chr1	179202183	179203183	741	0
chr1	179205714	179206714	742	0
chr1	179422832	179423832	743	0
chr1	179495807	179496807	744	1
chr1	180043893	180044893	745	1
chr1	180341832	180342832	746	1
chr1	180344152	180345152	747	0
chr1	180573968	180574968	748	0
chr1	180606314	180607314	749	0
chr1	180612129	180613129	750	0
chr1	180792864	180793864	751	0
chr1	180995852	180996852	752	1
chr1	181543540	181544540	753	0
chr1	181898288	181899288	754	1
chr1	182395185	182396185	755	0
chr1	182411138	182412138	756	1
chr1	182466094	182467094	757	1
chr1	182499233	182500233	758	1
chr1	182519899	182520899	759	1
chr1	182935232	182936232	760	0
chr1	183081578	183082578	761	1
chr1	183336267	183337267	762	1
chr1	183499372	183500372	763	0
chr1	183500123	183501123	764	0
chr1	183505563	183506563	765	0
chr1	183621685	183622685	766	0
chr1	183629824	183630824	767	0
chr1	183631739	183632739	768	1
chr1	183967168	183968168	769	0
chr1	184048548	184049548	770	0
chr1	184062579	184063579	771	0
chr1	184070278	184071278	772	0
chr1	184127989	184128989	773	1
chr1	184217509	184218509	774	0
chr1	184345268	184346268	775	0
chr1	185144954	185145954	776	1
chr1	185178107	185179107	777	1
chr1	185239483	185240483	778	1
chr1	185241319	185242319	779	1
chr1	185258823	185259823	780	0
chr1	185297417	185298417	781	0
chr1	185750027	185751027	782	1
chr1	185750580	185751580	783	1
chr1	185769724	185770724	784	0
chr1	185861142	185862142	785	0
chr1	185984013	185985013	786	0
chr1	185991010	185992010	787	1
chr1	185993342	185994342	788	1
chr1	186008323	186009323	789	1
chr1	186008772	186009772	790	0
chr1	186183792	186184792	791	0
chr1	186421921	186422921	792	1
chr1	186435194	186436194	793	0
chr1	186435508	186436508	794	1
chr1	186482874	186483874	795	0
chr1	186671283	186672283	796	1
chr1	186926182	186927182	797	0
chr1	187030019	187031019	798	1
chr1	191631355	191632355	799	0
chr1	192209838	192210838	800	1
chr1	192265229	192266229	801	1
chr1	192269791	192270791	802	0
chr1	192270191	192271191	803	0
chr1	192467998	192468998	804	0
chr1	192644187	192645187	805	0
chr1	192893310	192894310	806	1
chr1	193014276	193015276	807	0
chr1	193033476	193034476	808	1
chr1	193035643	193036643	809	1
chr1	193047262	193048262	810	0
chr1	193091135	193092135	811	1
chr1	193114311	193115311	812	0
chr1	193174094	193175094	813	0
chr1	193184772	193185772	814	0
chr1	193193658	193194658	815	1
chr1	193228066	193229066	816	0
chr1	194045893	194046893	817	1
chr1	194368610	194369610	818	0
chr1	194476492	194477492	819	0
chr1	194531868	194532868	820	1
chr1	194672766	194673766	821	1
chr1	195242617	195243617	822	1
chr1	195263705	195264705	823	0
chr1	195264060	195265060	824	0
chr1	195323774	195324774	825	0
chr1	195714442	195715442	826	0
chr1	195853360	195854360	827	1
chr1	195881393	195882393	828	0
chr1	195886814	195887814	829	0
chr1	195887056	195888056	830	0
chr1	195957901	195958901	831	0
chr1	196106863	196107863	832	1
chr1	196211111	196212111	833	1
chr1	196254395	196255395	834	0
chr1	196296931	196297931	835	1
chr1	196298467	196299467	836	0
chr1	196355440	196356440	837	1
chr1	196478027	196479027	838	0
chr1	196588059	196589059	839	0
chr1	196889836	196890836	840	0
chr1	197049966	197050966	841	1
chr1	197153674	197154674	842	1
chr1	197246293	197247293	843	1
chr1	197362182	197363182	844	0
chr1	197524557	197525557	845	1
chr1	197525638	197526638	846	1
chr1	197530579	197531579	847	1
chr1	197623530	197624530	848	1
chr1	197648549	197649549	849	1
chr1	197665592	197666592	850	0
chr1	197811336	197812336	851	0
chr1	197811727	197812727	852	0
chr1	197888087	197889087	853	1
chr1	197991229	197992229	854	0
chr1	198019140	198020140	855	0
chr1	198083922	198084922	856	0
chr1	198269055	198270055	857	0
chr1	198304269	198305269	858	0
chr1	198308066	198309066	859	1
chr1	198316264	198317264	860	0
chr1	198366728	198367728	861	0
chr1	198381104	198382104	862	1
chr1	198517514	198518514	863	1
chr1	198552122	198553122	864	0
chr1	198594646	198595646	865	0
chr1	198622996	198623996	866	1
chr1	198682570	198683570	867	1
chr1	198739210	198740210	868	1
chr1	198762923	198763923	869	0
chr1	198859262	198860262	870	1
chr1	198860069	198861069	871	1
chr1	198907924	198908924	872	0
